"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
Stock ID: 124-1300 ,,,,,,,
17-Sep-25 ,20 MH National Microwave Oven,,15,15,11300,"169,500",Multy Net Mehdi Bhai
,,,,15.00,,"169,500.00",
Stock ID: 124-13002 ,,,,,,,
05-Jan-26 ,3600 National 4in1 Juicer,,30,30,3550,"106,500",Sitara Trading Company
,,,,30.00,,"106,500.00",
Stock ID: 124-13009 ,,,,,,,
05-Jan-26 ,22 AWT Panasonic Malaysia Iron,,30,30,6875,"206,250",Nagina Madina Bara Basement
,,,,30.00,,"206,250.00",
Stock ID: 124-1301 ,,,,,,,
17-Sep-25 ,20MXP4 Haier 20L Micro Oven,,100,100,12100,"1,210,000",Rana Electric Gardh Mord
17-Sep-25 ,20MXP4 Haier 20L Micro Oven,,50,50,12100,"605,000",Rana Electric Gardh Mord
,,,,150.00,,"1,815,000.00",
Stock ID: 124-1302 ,,,,,,,
17-Sep-25 ,20 MH National Microwave Oven,,35,35,11300,"395,500",Multy Net Mehdi Bhai
,,,,35.00,,"395,500.00",
Stock ID: 124-13020 ,,,,,,,
05-Jan-26 ,726 ND National Vacuum Cleaner Wet And Dry,,2,2,12615,"25,230",National Distributor
,,,,2.00,,"25,230.00",
Stock ID: 124-13027 ,,,,,,,
05-Jan-26 ,180 ND National 3in1 Juicer,,6,6,6786,"40,716",National Distributor
,,,,6.00,,"40,716.00",
Stock ID: 124-1303 ,,,,,,,
17-Sep-25 ,Chocolate Fountain,,1,1,9000,"9,000",Geepas Rasheed Center
,,,,1.00,,"9,000.00",
Stock ID: 124-1304 ,,,,,,,
17-Sep-25 ,20 MH National Microwave Oven,,50,50,11300,"565,000",Multy Net Mehdi Bhai
,,,,50.00,,"565,000.00",
Stock ID: 124-13044 ,,,,,,,
05-Jan-26 ,22 AWT Panasonic Malaysia Iron,,30,30,6850,"205,500",Noshad Rasheed Center
,,,,30.00,,"205,500.00",
Stock ID: 124-13045 ,,,,,,,
05-Jan-26 ,30 MH Microwave Oven,,4,4,11600,"46,400",Multy Net Mehdi Bhai
,,,,4.00,,"46,400.00",
Stock ID: 124-13046 ,,,,,,,
05-Jan-26 ,3150 Anex Food Processor,,1,1,19383,"19,383",Anex Company Farrukh Sahab
05-Jan-26 ,822 Anex Egg Beater With Bowl,,1,1,8781.5,"8,781.5",Anex Company Farrukh Sahab
05-Jan-26 ,2138 Anex 3in1 Sandwich Maker,,1,1,9191,"9,191",Anex Company Farrukh Sahab
,,,,3.00,,"37,355.50",
Stock ID: 124-13047 ,,,,,,,
05-Jan-26 ,8825 Panasonic 3in1 Juicer MP,,15,15,6351,"95,265",National Distributor
,,,,15.00,,"95,265.00",
Stock ID: 124-13050 ,,,,,,,
05-Jan-26 ,5050 NS 4in1 Juicer,,3,3,4483,"13,449",Sitara Trading Company
,,,,3.00,,"13,449.00",
Stock ID: 124-13077 ,,,,,,,
06-Jan-26 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-13078 ,,,,,,,
06-Jan-26 ,3092 ND National Garment Steamer,,4,4,11484,"45,936",National Distributor
06-Jan-26 ,4097 ND National Garment Steamer,,4,4,13920,"55,680",National Distributor
06-Jan-26 ,3096 ND National Garments Steamer,,4,4,11310,"45,240",National Distributor
,,,,12.00,,"146,856.00",
Stock ID: 124-13092 ,,,,,,,
06-Jan-26 ,176 Malaysia Panasonic Juicer 3in1,,1,1,41800,"41,800",Nagina Madina Bara Basement
,,,,1.00,,"41,800.00",
Stock ID: 124-13093 ,,,,,,,
06-Jan-26 ,30 MH Microwave Oven,,50,50,11600,"580,000",Multy Net Mehdi Bhai
,,,,50.00,,"580,000.00",
Stock ID: 124-13099 ,,,,,,,
06-Jan-26 ,221 NS National Kettle,,12,12,1584,"19,008",Sitara Trading Company
,,,,12.00,,"19,008.00",
Stock ID: 124-13102 ,,,,,,,
06-Jan-26 ,552 ND National Chopper,,12,12,5133,"61,596",National Distributor
06-Jan-26 ,553 ND National Chopper,,12,12,5133,"61,596",National Distributor
,,,,24.00,,"123,192.00",
Stock ID: 124-13103 ,,,,,,,
06-Jan-26 ,3600 National 4in1 Juicer,,90,90,3550,"319,500",Sitara Trading Company
06-Jan-26 ,413 Panasonic Sandwich Maker,,66,66,1840,"121,440",Sitara Trading Company
,,,,156.00,,"440,940.00",
Stock ID: 124-13132 ,,,,,,,
06-Jan-26 ,15 MD Dawlance Microwave Oven,,65,65,12000,"780,000",Farukh Bhai Dawlance 
,,,,65.00,,"780,000.00",
Stock ID: 124-13134 ,,,,,,,
06-Jan-26 ,111 Heater 3 Rod,,21,21,1250,"26,250",National Distributor
06-Jan-26 ,111 Heater 3 Rod,,3,3,1250,"3,750",National Distributor
,,,,24.00,,"30,000.00",
Stock ID: 124-13140 ,,,,,,,
06-Jan-26 ,222 ND National Juicer,,3,3,6351,"19,053",National Distributor
06-Jan-26 ,112 ND National Sandwich Maker Detachable,,6,6,5829,"34,974",National Distributor
06-Jan-26 ,855 ND National Chopper,,4,4,5133,"20,532",National Distributor
,,,,13.00,,"74,559.00",
Stock ID: 124-1318 ,,,,,,,
17-Sep-25 ,3010 Kenwood Air Fryer,,16,16,10400,"166,400",Sitara Trading Company
,,,,16.00,,"166,400.00",
Stock ID: 124-13184 ,,,,,,,
07-Jan-26 ,673 ND Air Fryer,,4,4,13050,"52,200",National Distributor
,,,,4.00,,"52,200.00",
Stock ID: 124-13185 ,,,,,,,
07-Jan-26 ,448 Philips Hot Plate,,160,160,3250,"520,000",Sitara Trading Company
,,,,160.00,,"520,000.00",
Stock ID: 124-132 ,,,,,,,
03-Sep-25 ,656 ND National Air Fryer ,,2,2,13485,"26,970",National Distributor
,,,,2.00,,"26,970.00",
Stock ID: 124-13212 ,,,,,,,
07-Jan-26 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-13213 ,,,,,,,
07-Jan-26 ,20 MH National Microwave Oven,,40,40,11300,"452,000",Multy Net Mehdi Bhai
07-Jan-26 ,20 MH National Microwave Oven,,40,40,11300,"452,000",Multy Net Mehdi Bhai
,,,,80.00,,"904,000.00",
Stock ID: 124-13214 ,,,,,,,
07-Jan-26 ,1026 Panasonic Electrics Oven,,15,15,9500,"142,500",Abid Bhai Seco 
,,,,15.00,,"142,500.00",
Stock ID: 124-13241 ,,,,,,,
07-Jan-26 ,764 ND National Food Factory,,4,4,9222,"36,888",National Distributor
07-Jan-26 ,222 ND National Juicer,,15,15,6351,"95,265",National Distributor
,,,,19.00,,"132,153.00",
Stock ID: 124-13262 ,,,,,,,
07-Jan-26 ,965 Air Fryer,,4,4,12000,"48,000",National Distributor
,,,,4.00,,"48,000.00",
Stock ID: 124-13269 ,,,,,,,
07-Jan-26 ,834 Anex Stand Egg Beater,,6,6,20748,"124,488",Anex Company Farrukh Sahab
07-Jan-26 ,144 Anex Hand Blender,,6,6,7007,"42,042",Anex Company Farrukh Sahab
07-Jan-26 ,176 Anex Juicer 3in1,,12,12,12012,"144,144",Anex Company Farrukh Sahab
07-Jan-26 ,2020 Anex Air Fryer,,10,10,25844,"258,440",Anex Company Farrukh Sahab
07-Jan-26 ,128 Anex Hand Blender,,12,12,7007,"84,084",Anex Company Farrukh Sahab
07-Jan-26 ,177 Anex Juicer,,15,15,12012,"180,180",Anex Company Farrukh Sahab
07-Jan-26 ,129 Anex Hand Blender With Beater,,8,8,8099,"64,792",Anex Company Farrukh Sahab
07-Jan-26 ,819 Anex Stand Mixer 5 Ltr SS Bowl 1200 Watt,,6,6,20748,"124,488",Anex Company Farrukh Sahab
,,,,75.00,,"1,022,658.00",
Stock ID: 124-13270 ,,,,,,,
07-Jan-26 ,hmd 25 Microwave With Grill 20 litters,,1,1,15000,"15,000",Zeeshan NP
,,,,1.00,,"15,000.00",
Stock ID: 124-13345 ,,,,,,,
08-Jan-26 ,3018 Seco Stand Mixer,,8,8,20800,"166,400",Seco Company Zafar Sahab
08-Jan-26 ,3017 Seco Stand Mixer,,1,1,17800,"17,800",Seco Company Zafar Sahab
08-Jan-26 ,3018 Seco Stand Mixer,,1,1,20800,"20,800",Seco Company Zafar Sahab
08-Jan-26 ,2460 Seco Electric Oven,,1,1,16300,"16,300",Seco Company Zafar Sahab
08-Jan-26 ,3016 Seco Stand Mixer,,24,24,15800,"379,200",Seco Company Zafar Sahab
08-Jan-26 ,3016 Seco Stand Mixer,,1,1,15800,"15,800",Seco Company Zafar Sahab
08-Jan-26 ,3017 Seco Stand Mixer,,8,8,17800,"142,400",Seco Company Zafar Sahab
08-Jan-26 ,2460 Seco Electric Oven,,10,10,16300,"163,000",Seco Company Zafar Sahab
08-Jan-26 ,3018 Seco Stand Mixer,,1,1,20800,"20,800",Seco Company Zafar Sahab
08-Jan-26 ,3016 Seco Stand Mixer,,1,1,15800,"15,800",Seco Company Zafar Sahab
08-Jan-26 ,3017 Seco Stand Mixer,,1,1,17800,"17,800",Seco Company Zafar Sahab
,,,,57.00,,"976,100.00",
Stock ID: 124-13346 ,,,,,,,
08-Jan-26 ,Kettle China National,,240,240,790,"189,600",Zia & Company
,,,,240.00,,"189,600.00",
Stock ID: 124-13347 ,,,,,,,
08-Jan-26 ,732 Anex Baby Bottler Warmer,,30,30,4550,"136,500",Anex Company Farrukh Sahab
,,,,30.00,,"136,500.00",
Stock ID: 124-13374 ,,,,,,,
08-Jan-26 ,122 Sogo Dish Heater,,2,2,8500,"17,000",Yaseen Sahab Sogo Walai
,,,,2.00,,"17,000.00",
Stock ID: 124-13375 ,,,,,,,
08-Jan-26 ,hmd 25 Microwave With Grill 20 litters,,1,1,15000,"15,000",Zeeshan NP
08-Jan-26 ,hmd 25 Microwave With Grill 20 litters,,1,1,15000,"15,000",Zeeshan NP
,,,,2.00,,"30,000.00",
Stock ID: 124-13376 ,,,,,,,
08-Jan-26 ,hmd 25 Microwave With Grill 20 litters,,27,27,15000,"405,000",Zeeshan NP
,,,,27.00,,"405,000.00",
Stock ID: 124-13383 ,,,,,,,
08-Jan-26 ,ES 300 Sliver Star Iron,,2,2,8500,"17,000",Bilal Electronics Madina Bara Center
,,,,2.00,,"17,000.00",
Stock ID: 124-13442 ,,,,,,,
08-Jan-26 ,112 Philips Hand Blender,,18,18,3300,"59,400",Sitara Trading Company
08-Jan-26 ,3070 Kw Chooper,,12,12,5500,"66,000",Sitara Trading Company
,,,,30.00,,"125,400.00",
Stock ID: 124-13458 ,,,,,,,
09-Jan-26 ,855 ND National Chopper,,4,4,5133,"20,532",National Distributor
09-Jan-26 ,1065 nd hot plate,,8,8,5220,"41,760",National Distributor
09-Jan-26 ,222 ND National Juicer,,6,6,6351,"38,106",National Distributor
09-Jan-26 ,1055 ND National Hot Plate,,8,8,5220,"41,760",National Distributor
09-Jan-26 ,1053 ND National Hot Plate ,,8,8,5220,"41,760",National Distributor
09-Jan-26 ,109 ND National Sandwich Maker Steel,,6,6,3132,"18,792",National Distributor
09-Jan-26 ,552 ND National Chopper,,4,4,5133,"20,532",National Distributor
09-Jan-26 ,2224 ND National 4in1 Juicer,,6,6,7047,"42,282",National Distributor
09-Jan-26 ,552 ND National Chopper,,4,4,5133,"20,532",National Distributor
09-Jan-26 ,854 ND National Chopper,,4,4,5133,"20,532",National Distributor
09-Jan-26 ,56 ND National Chopper,,6,6,3915,"23,490",National Distributor
,,,,64.00,,"330,078.00",
Stock ID: 124-13465 ,,,,,,,
09-Jan-26 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-13466 ,,,,,,,
09-Jan-26 ,Kettle China National,,992,992,780,"773,760",Zeeshan NP
,,,,992.00,,"773,760.00",
Stock ID: 124-13467 ,,,,,,,
09-Jan-26 ,22 AWT Panasonic Malaysia Iron,,60,60,6850,"411,000",Noshad Rasheed Center
,,,,60.00,,"411,000.00",
Stock ID: 124-13468 ,,,,,,,
09-Jan-26 ,855 ND National Chopper,,8,8,5133,"41,064",National Distributor
,,,,8.00,,"41,064.00",
Stock ID: 124-13481 ,,,,,,,
09-Jan-26 ,882 Kenwood Blender,,60,60,2525,"151,500",Sitara Trading Company
09-Jan-26 ,881 Kenwood Blender,,60,60,2200,"132,000",Sitara Trading Company
,,,,120.00,,"283,500.00",
Stock ID: 124-13483 ,,,,,,,
09-Jan-26 ,238 St National 3in1 Juicer 8825 IB,,90,90,6100,"549,000",Ibrahim Khan 
,,,,90.00,,"549,000.00",
Stock ID: 124-13492 ,,,,,,,
09-Jan-26 ,4082 ND Blender Dry MIll 1.6 Liter Jug,,12,12,4002,"48,024",National Distributor
09-Jan-26 ,4081 ND Blender Dry Mill 1.6 Liter,,12,12,4002,"48,024",National Distributor
,,,,24.00,,"96,048.00",
Stock ID: 124-1351 ,,,,,,,
17-Sep-25 ,3140 Anex Chopper,,4,4,12740,"50,960",Anex Company Farrukh Sahab
,,,,4.00,,"50,960.00",
Stock ID: 124-13515 ,,,,,,,
09-Jan-26 ,617 Panasonic Kettle ,,360,360,1125,"405,000",Pak Traders Gujranawala
09-Jan-26 ,2000 HAA Food Processor 11 IN 1,,80,80,8300,"664,000",Pak Traders Gujranawala
09-Jan-26 ,901 HAA Air Fryer Digital Double Bucket,,70,70,12000,"840,000",Pak Traders Gujranawala
,,,,510.00,,"1,909,000.00",
Stock ID: 124-13538 ,,,,,,,
09-Jan-26 ,182 ND National Citrus,,16,16,3132,"50,112",National Distributor
,,,,16.00,,"50,112.00",
Stock ID: 124-13561 ,,,,,,,
09-Jan-26 ,22 AWT Panasonic Japani Iron,,30,30,13300,"399,000",Noshad Rasheed Center
,,,,30.00,,"399,000.00",
Stock ID: 124-13562 ,,,,,,,
09-Jan-26 ,732 Anex Baby Bottler Warmer,,6,6,4550,"27,300",Anex Company Farrukh Sahab
,,,,6.00,,"27,300.00",
Stock ID: 124-13597 ,,,,,,,
09-Jan-26 ,1121 Anex Garment Steamer,,1,1,20657,"20,657",Anex Company Farrukh Sahab
,,,,1.00,,"20,657.00",
Stock ID: 124-13630 ,,,,,,,
10-Jan-26 ,222 ND National Juicer,,30,30,6351,"190,530",National Distributor
,,,,30.00,,"190,530.00",
Stock ID: 124-13633 ,,,,,,,
09-Jan-26 ,22 AWT Panasonic Malaysia Iron,,120,120,6850,"822,000",Nagina Madina Bara Basement
,,,,120.00,,"822,000.00",
Stock ID: 124-13637 ,,,,,,,
10-Jan-26 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-13638 ,,,,,,,
09-Jan-26 ,009 Panaosnic Kettle,,6,6,1450,"8,700",Sitara Trading Company
09-Jan-26 ,008 Kenwood Kettle,,2,2,1450,"2,900",Sitara Trading Company
,,,,8.00,,"11,600.00",
Stock ID: 124-13639 ,,,,,,,
10-Jan-26 ,925 MO Microwave Oven,,5,5,20000,"100,000",Sitara Traders Micro Deal 
,,,,5.00,,"100,000.00",
Stock ID: 124-13640 ,,,,,,,
10-Jan-26 ,30 litter grill microwave,,25,25,20000,"500,000",Multy Net Mehdi Bhai
,,,,25.00,,"500,000.00",
Stock ID: 124-13641 ,,,,,,,
10-Jan-26 ,20MXP4 Haier 20L Micro Oven,,140,140,12100,"1,694,000",Rana Electric Gardh Mord
,,,,140.00,,"1,694,000.00",
Stock ID: 124-13642 ,,,,,,,
10-Jan-26 ,20 XM4 Enviro Micro Oven,,159,159,11050,"1,756,950",Ibrahim Khan 
10-Jan-26 ,20 XM4 Enviro Micro Oven,,30,30,11050,"331,500",Ibrahim Khan 
,,,,189.00,,"2,088,450.00",
Stock ID: 124-13643 ,,,,,,,
10-Jan-26 ,23 AZ Air Fryer Double Bucket,,20,20,10000,"200,000",Zeeshan NP
10-Jan-26 ,25 MB Grill Touch Micowave Oven,,15,15,21000,"315,000",Zeeshan NP
10-Jan-26 ,23 AZ Air Fryer Double Bucket,,80,80,10000,"800,000",Zeeshan NP
10-Jan-26 ,25 MB Grill Touch Micowave Oven,,5,5,21000,"105,000",Zeeshan NP
10-Jan-26 ,hmd 25 Microwave With Grill 20 litters,,50,50,15000,"750,000",Zeeshan NP
10-Jan-26 ,hmd 25 Microwave With Grill 20 litters,,35,35,15000,"525,000",Zeeshan NP
,,,,205.00,,"2,695,000.00",
Stock ID: 124-13678 ,,,,,,,
10-Jan-26 ,925 MO Microwave Oven,,2,2,20000,"40,000",Sitara Traders Micro Deal 
10-Jan-26 ,425 MO Microwave Oven,,2,2,15950,"31,900",Sitara Traders Micro Deal 
,,,,4.00,,"71,900.00",
Stock ID: 124-13689 ,,,,,,,
10-Jan-26 ,200 Spell Juicer,,6,6,4350,"26,100",National Distributor
,,,,6.00,,"26,100.00",
Stock ID: 124-13722 ,,,,,,,
10-Jan-26 ,30 litter grill microwave,,25,25,20000,"500,000",Multy Net Mehdi Bhai
,,,,25.00,,"500,000.00",
Stock ID: 124-13723 ,,,,,,,
10-Jan-26 ,20 MH National Microwave Oven,,70,70,11300,"791,000",Multy Net Mehdi Bhai
,,,,70.00,,"791,000.00",
Stock ID: 124-13738 ,,,,,,,
10-Jan-26 ,020 Kenwood Hand Blender,,6,6,4100,"24,600",Sitara Trading Company
,,,,6.00,,"24,600.00",
Stock ID: 124-13792 ,,,,,,,
03-Jan-26 ,Wire Blender Amm,,400,400,33,"13,200",Imran Wire 
03-Jan-26 ,Wire Computerise Juicer & Blender,,400,400,55,"22,000",Imran Wire 
,,,,800.00,,"35,200.00",
Stock ID: 124-13793 ,,,,,,,
03-Jan-26 ,Kettle China National,,864,864,820,"708,480",Ibrahim Khan 
,,,,864.00,,"708,480.00",
Stock ID: 124-13794 ,,,,,,,
09-Jan-26 ,Button 3in1 Juicer,,6480,"6,480",78,"505,440",Raees Ahmad Peer Makki
09-Jan-26 ,7025CC Juicer 3in1 Motor,,4590,"4,590",750,"3,442,500",Raees Ahmad Peer Makki
,,,,"11,070.00",,"3,947,940.00",
Stock ID: 124-13795 ,,,,,,,
10-Jan-26 ,20 XM4 Enviro Micro Oven,,193,193,11050,"2,132,650",Ibrahim Khan 
,,,,193.00,,"2,132,650.00",
Stock ID: 124-13796 ,,,,,,,
09-Jan-26 ,Box 600 St Blender,,599,599,75,"44,925",Ahmad Sahab Printing
,,,,599.00,,"44,925.00",
Stock ID: 124-13797 ,,,,,,,
01-Jan-26 ,Box 8001 M New 3in1 Juicer,,1001,"1,001",81,"81,081",Ahmad Sahab Printing
,,,,"1,001.00",,"81,081.00",
Stock ID: 124-13798 ,,,,,,,
03-Jan-26 ,Master Carton Juicer ,,623,623,115,"71,645",Ahmad Sahab Printing
,,,,623.00,,"71,645.00",
Stock ID: 124-13799 ,,,,,,,
12-Jan-26 ,22 AWT Panasonic Malaysia Iron,,120,120,6900,"828,000",Noshad Rasheed Center
,,,,120.00,,"828,000.00",
Stock ID: 124-13800 ,,,,,,,
06-Jan-26 ,4in1 bricks,,5125,"5,125",10,"51,250",Atif Electronics Gujranwala
06-Jan-26 ,Thermopore sheet Single Dubi Blender,,10000,"10,000",5,"50,000",Atif Electronics Gujranwala
,,,,"15,125.00",,"101,250.00",
Stock ID: 124-13801 ,,,,,,,
12-Jan-26 ,iron u,,5000,"5,000",30,"150,000",Raees Ahmad Peer Makki
12-Jan-26 ,Iron Thermostate,,500,500,110,"55,000",Raees Ahmad Peer Makki
,,,,"5,500.00",,"205,000.00",
Stock ID: 124-13811 ,,,,,,,
12-Jan-26 ,448 Philips Hot Plate,,160,160,3250,"520,000",Sitara Trading Company
,,,,160.00,,"520,000.00",
Stock ID: 124-13871 ,,,,,,,
12-Jan-26 ,222 ND National Juicer,,18,18,6351,"114,318",National Distributor
,,,,18.00,,"114,318.00",
Stock ID: 124-13883 ,,,,,,,
12-Jan-26 ,630 Philips Chopper,,8,8,5300,"42,400",Sitara Trading Company
,,,,8.00,,"42,400.00",
Stock ID: 124-13914 ,,,,,,,
13-Jan-26 ,222 BC ND National Juicer,,6,6,6351,"38,106",National Distributor
,,,,6.00,,"38,106.00",
Stock ID: 124-13915 ,,,,,,,
13-Jan-26 ,336 Kenwood Hot Plate,,80,80,3250,"260,000",Sitara Trading Company
,,,,80.00,,"260,000.00",
Stock ID: 124-13919 ,,,,,,,
12-Jan-26 ,297 Dawlance Microwave Oven,,20,20,19000,"380,000",Pasha Electronic Patiala Ground
12-Jan-26 ,393 Dawlance Microwave Oven,,10,10,24000,"240,000",Pasha Electronic Patiala Ground
12-Jan-26 ,128 Dawlance Microwave Oven,,10,10,29000,"290,000",Pasha Electronic Patiala Ground
12-Jan-26 ,131 HP Dawlance Microwave Oven,,20,20,30500,"610,000",Pasha Electronic Patiala Ground
12-Jan-26 ,7 MD Dawlance Microwave  Oven,,20,20,14000,"280,000",Pasha Electronic Patiala Ground
12-Jan-26 ,15 MD Dawlance Microwave Oven,,20,20,12100,"242,000",Pasha Electronic Patiala Ground
,,,,100.00,,"2,042,000.00",
Stock ID: 124-13920 ,,,,,,,
12-Jan-26 ,8H 23 Ltr Manual Microwave Oven,,67,67,16500,"1,105,500",Zeeshan NP
12-Jan-26 ,23 AZ Air Fryer Double Bucket,,200,200,10000,"2,000,000",Zeeshan NP
12-Jan-26 ,25 MB Grill Touch Micowave Oven,,79,79,21000,"1,659,000",Zeeshan NP
,,,,346.00,,"4,764,500.00",
Stock ID: 124-13921 ,,,,,,,
12-Jan-26 ,15 MD Dawlance Microwave Oven,,10,10,12100,"121,000",Pasha Electronic Patiala Ground
,,,,10.00,,"121,000.00",
Stock ID: 124-13995 ,,,,,,,
13-Jan-26 ,392 Kenwood Hot Plate,,8,8,3500,"28,000",National Distributor
13-Jan-26 ,395 Kenwood Hot Plate,,8,8,3500,"28,000",National Distributor
13-Jan-26 ,390 Kenwood Hot Plate,,8,8,3300,"26,400",National Distributor
13-Jan-26 ,550 Kenwood Hot Plate,,8,8,3600,"28,800",National Distributor
,,,,32.00,,"111,200.00",
Stock ID: 124-13999 ,,,,,,,
13-Jan-26 ,330 Oxford Kettle,,60,60,2300.5,"138,030",Sitara Trading Company
,,,,60.00,,"138,030.00",
Stock ID: 124-14 ,,,,,,,
02-Sep-25 ,VIP Iron N197 Iron,,150,150,1510,"226,500",Haider Sahab Iron
,,,,150.00,,"226,500.00",
Stock ID: 124-1400 ,,,,,,,
18-Sep-25 ,20 MH National Microwave Oven,,50,50,11300,"565,000",Multy Net Mehdi Bhai
,,,,50.00,,"565,000.00",
Stock ID: 124-14000 ,,,,,,,
13-Jan-26 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-14001 ,,,,,,,
30-Dec-25 ,600 St Blender Blue 7020 Copper,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14002 ,,,,,,,
31-Dec-25 ,600 St Blender Blue 7020 Copper,,108,108,0,,Saddam Bhai Jamal Center
,,,,108.00,,0.00,
Stock ID: 124-14003 ,,,,,,,
01-Jan-26 ,4455 ST National 3in1 Juicer GB ,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14004 ,,,,,,,
02-Jan-26 ,2700 Panasonic Blender 7020 Copper,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14005 ,,,,,,,
03-Jan-26 ,9300 KW Blender 7020 Copper,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14006 ,,,,,,,
05-Jan-26 ,9300 KW Blender 7020 Copper,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14007 ,,,,,,,
13-Jan-26 ,176 8820 white body Panasonic Juicer 3in1 gb,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14008 ,,,,,,,
13-Jan-26 ,20 MH National Microwave Oven,,50,50,11300,"565,000",Multy Net Mehdi Bhai
,,,,50.00,,"565,000.00",
Stock ID: 124-14010 ,,,,,,,
24-Dec-25 ,2020 ST National Juicer,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14011 ,,,,,,,
14-Jan-26 ,425 MO Microwave Oven,,5,5,15950,"79,750",Sitara Traders Micro Deal 
,,,,5.00,,"79,750.00",
Stock ID: 124-14024 ,,,,,,,
14-Jan-26 ,218 ND National Kettle 2.5 L,,24,24,3132,"75,168",National Distributor
14-Jan-26 ,217 ND National kettle 1.7 L,,24,24,3132,"75,168",National Distributor
14-Jan-26 ,219 ND National Kettle 1.7 L,,24,24,3132,"75,168",National Distributor
,,,,72.00,,"225,504.00",
Stock ID: 124-14044 ,,,,,,,
14-Jan-26 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-14045 ,,,,,,,
14-Jan-26 ,603 Oxford Blender DD,,6,6,2132.8,"12,796.8",Sitara Trading Company
,,,,6.00,,"12,796.80",
Stock ID: 124-1406 ,,,,,,,
15-Sep-25 ,176 7030 cooper Panasonic Juicer 3in1 ,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14066 ,,,,,,,
14-Jan-26 ,3002 Kenwood Double Hot Plate,,45,45,8500,"382,500",Sitara Trading Company
14-Jan-26 ,4030 Philips Hot Plate double,,15,15,8500,"127,500",Sitara Trading Company
,,,,60.00,,"510,000.00",
Stock ID: 124-1407 ,,,,,,,
16-Sep-25 ,446 St National Juicer,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14070 ,,,,,,,
14-Jan-26 ,6023 M Net Black Microwave Oven,,15,15,15000,"225,000",Multy Net Mehdi Bhai
14-Jan-26 ,6023 M Net Black Microwave Oven,,25,25,15000,"375,000",Multy Net Mehdi Bhai
14-Jan-26 ,6023 M Net Black Microwave Oven,,25,25,15000,"375,000",Multy Net Mehdi Bhai
,,,,65.00,,"975,000.00",
Stock ID: 124-1408 ,,,,,,,
17-Sep-25 ,176 HS Panasonic 3in1 Juicer 7025CC,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-14110 ,,,,,,,
14-Jan-26 ,25 MO Kenwood Microwave Oven Manual,,4,4,16000,"64,000",National Distributor
,,,,4.00,,"64,000.00",
Stock ID: 124-14153 ,,,,,,,
14-Jan-26 ,425 MO Microwave Oven,,25,25,15950,"398,750",Sitara Traders Micro Deal 
,,,,25.00,,"398,750.00",
Stock ID: 124-14154 ,,,,,,,
14-Jan-26 ,3600 National 4in1 Juicer,,3,3,3550,"10,650",Sitara Trading Company
,,,,3.00,,"10,650.00",
Stock ID: 124-14155 ,,,,,,,
14-Jan-26 ,223 ND National Kettle Steel,,30,30,3741,"112,230",National Distributor
14-Jan-26 ,106 ND National Sandwich Maker Steel,,90,90,3045,"274,050",National Distributor
14-Jan-26 ,100 ND National Sandwich Maker Steel,,60,60,4350,"261,000",National Distributor
,,,,180.00,,"647,280.00",
Stock ID: 124-14159 ,,,,,,,
14-Jan-26 ,965 Air Fryer,,48,48,12000,"576,000",National Distributor
,,,,48.00,,"576,000.00",
Stock ID: 124-14170 ,,,,,,,
14-Jan-26 ,180 ND National 3in1 Juicer,,9,9,6786,"61,074",National Distributor
14-Jan-26 ,763 ND National Food Processor,,6,6,9222,"55,332",National Distributor
,,,,15.00,,"116,406.00",
Stock ID: 124-14172 ,,,,,,,
01-Jan-26 ,7113 RAF Coffee Grinder,,72,72,910,"65,520",Baseer Bhai Mustafa Center
,,,,72.00,,"65,520.00",
Stock ID: 124-14176 ,,,,,,,
